system_type,product_index,brand,series,capacity,capacity_num_kw,size_kw,phase,model,unit_price_inc_gst,price_inc_gst,rebate,net_unit_cost_inc_gst_minus_rebate
Split,0,Fujitsu General,Lifestyle,2.5kW,2.5,,,AOTG09KMTC/ASTG09KMTC,810.00,,219.32,590.68
Split,1,Fujitsu General,Lifestyle,3.5kW,3.5,,,AOTG12KMTC/ASTG12KMTC,920.00,,172.10,747.90
Split,2,Fujitsu General,Lifestyle,5.0kW,5,,,AOTG18KMTC/ASTG18KMTC,1300.00,,528.28,771.72
Split,3,Fujitsu General,Lifestyle,6.0kW,6,,,AOTG22KMTC/ASTG22KMTC,1550.00,,481.04,1068.96
Split,4,Fujitsu General,Lifestyle,7.1kW,7.1,,,AOTG24KMTC/ASTG24KMTC,1650.00,,398.40,1251.60
Split,5,Hisense,X3 Series,2.5kW,2.5,,,HAWG9KR,650.00,,430.00,220.00
Split,6,Hisense,G Series,3.5kW,3.5,,,HAWG12KR,750.00,,474.00,276.00
Split,7,Hisense,G Series,5.3kW,5.3,,,HAWG18KR,980.00,,884.00,96.00
Split,8,Hisense,X3 Series,7.1kW,7.1,,,HAWJ24KRP,1200.00,,361.00,839.00
Split,9,Hitachi,AirHome 600,2.5kW,2.5,,,RAC-VJ25PHAT/RAK-VJ25PHAT,765.60,,493.00,272.60
Split,10,Hitachi,AirHome 600,3.5kW,3.5,,,RAC-VJ35PHAT/RAK-VJ35PHAT,880.00,,467.00,413.00
Split,11,Hitachi,AirHome 600,5.0kW,5,,,RAC-VJ50PHAT/RAK-VJ50PHAT,1204.50,,905.00,299.50
Split,12,Hitachi,AirHome 600,6.0kW,6,,,RAC-VJ60PHAT/RAK-VJ60PHAT,1346.40,,799.00,547.40
Split,13,Hitachi,AirHome 600,7.0kW,7,,,RAC-VJ70PHAT/RAK-VJ70PHAT,1503.70,,723.00,780.70
Split,14,TCL,BreezeIN 2.0,2.5kW,2.5,,,TAC-10CHSD/VEIH,520.00,,338.00,182.00
Split,15,TCL,BreezeIN 2.0,3.5kW,3.5,,,TAC-13CHSD/VEIH,580.00,,249.00,331.00
Split,16,TCL,BreezeIN 2.0,5.0kW,5,,,TAC-18CHSD/VEIH,800.00,,680.00,120.00
Split,17,TCL,BreezeIN 2.0,7.1kW,7.1,,,TAC-24CHSD/VEIH,850.00,,488.00,362.00
Split,18,Daikin,Alira,2.0kW,2,,,RXM20YVMA / FTXM20YVMA,890.00,,0.00,890.00
Split,19,Daikin,Alira,2.5kW,2.5,,,RXM25YVMA / FTXM25YVMA,930.00,,0.00,930.00
Split,20,Daikin,Alira,3.5kW,3.5,,,RXM35WVMA / FTXM35WVMA,1130.00,,0.00,1130.00
